split,n,d_lo,d_hi,d_median,rmse,crps,total,pit_mean,coverage_0.5,coverage_0.68,coverage_0.8,coverage_0.9,coverage_0.95,coverage_0.99
random,646,0.0,1e-05,4e-06,0.01011153463691544,0.00499957317933694,0.012650526693497411,0.5262083680068913,0.6981424148606811,0.8436532507739938,0.9148606811145511,0.9705882352941176,0.9876160990712074,0.9969040247678018
random,705,1e-05,2.275e-05,1.5e-05,0.011026493253961055,0.005041754124418142,0.013062087884093979,0.5272928523453532,0.6936170212765957,0.8567375886524823,0.9276595744680851,0.9787234042553191,0.9914893617021276,0.9985815602836879
random,646,2.275e-05,3.7e-05,2.9e-05,0.009312704151257801,0.004781532304785555,0.012779276113250401,0.5261612417537876,0.7136222910216719,0.871517027863777,0.9380804953560371,0.9705882352941176,0.9814241486068112,0.9969040247678018
random,692,3.7e-05,5.9e-05,4.7e-05,0.011668993142448816,0.00550268233610232,0.014217468479193881,0.4940760593370526,0.7023121387283237,0.8540462427745664,0.9161849710982659,0.958092485549133,0.9826589595375722,0.9971098265895953
random,679,5.9e-05,9.3e-05,7.4e-05,0.012831565736226522,0.00595151951835118,0.014394338963699712,0.5338045681390375,0.6656848306332842,0.8379970544918999,0.9131075110456554,0.9572901325478645,0.9808541973490427,0.9941089837997055
random,681,9.3e-05,0.000152,0.000116,0.01172324000213281,0.0059945088585752595,0.01559594635920059,0.5094871062693321,0.6798825256975036,0.8443465491923642,0.9148311306901615,0.9662261380323054,0.9911894273127754,0.9970631424375918
random,679,0.000152,0.000296625,0.000208,0.015610197545172661,0.0071083812898889865,0.016458984466488632,0.507859220653176,0.6656848306332842,0.8247422680412371,0.9027982326951399,0.9528718703976435,0.9720176730486009,0.9941089837997055
random,676,0.000296625,0.005956000000000001,0.000508,0.01770949929682816,0.008257416761699582,0.017274232298253717,0.48449807928570054,0.6198224852071006,0.7928994082840237,0.8905325443786982,0.9393491124260355,0.9630177514792899,0.9911242603550295
hole,676,3e-06,0.049505625,0.022923,0.016453628897852887,0.0075133570626138135,0.014374903251156236,0.5008322237455476,0.6035502958579881,0.7603550295857988,0.8609467455621301,0.915680473372781,0.9497041420118343,0.9792899408284024
hole,675,0.049505625,0.10038,0.07435,0.01680124258087704,0.007874702695885081,0.015118909745177322,0.5220673338925529,0.5866666666666667,0.7288888888888889,0.8325925925925926,0.9259259259259259,0.9540740740740741,0.9822222222222222
hole,676,0.10038,0.154086,0.12566850000000002,0.018209138511585232,0.008229881694583009,0.015689336898256266,0.5305778233100368,0.5724852071005917,0.7218934911242604,0.8328402366863905,0.9068047337278107,0.9467455621301775,0.9837278106508875
hole,675,0.154086,0.207348,0.179846,0.02183802943030146,0.00952203789774404,0.016020315754210708,0.5434907176299927,0.5451851851851852,0.7022222222222222,0.8088888888888889,0.8948148148148148,0.9318518518518518,0.9674074074074074
hole,675,0.207348,0.27343175000000003,0.240163,0.025293955520197857,0.010935044840565181,0.01733680912796398,0.5396449287333793,0.4948148148148148,0.682962962962963,0.7822222222222223,0.8711111111111111,0.9096296296296297,0.9718518518518519
hole,676,0.27343175000000003,0.330544,0.303101,0.02791048314062454,0.01252386447910037,0.0182761003101037,0.5554754400237571,0.5029585798816568,0.6686390532544378,0.7633136094674556,0.8387573964497042,0.8875739644970414,0.9541420118343196
hole,675,0.330544,0.39284425,0.360066,0.03349910622652829,0.014566978137351588,0.01936173513727413,0.5327115517724234,0.4696296296296296,0.6281481481481481,0.7288888888888889,0.8103703703703704,0.882962962962963,0.9511111111111111
hole,676,0.39284425,0.45143300000000003,0.42224649999999997,0.03214824594106032,0.014501719757395788,0.019223085130037138,0.5266032102194113,0.47485207100591714,0.6094674556213018,0.7041420118343196,0.8062130177514792,0.8653846153846154,0.9334319526627219
tail,676,3e-06,0.13449149999999999,0.06273300000000001,0.019907688520036826,0.009772765414130108,0.01964754690777244,0.4289635508095502,0.5281065088757396,0.7100591715976331,0.8254437869822485,0.9275147928994083,0.9644970414201184,0.9911242603550295
tail,675,0.13449149999999999,0.307439,0.21932,0.029854816405806863,0.01360483110418586,0.020911102170731916,0.42207015180118207,0.4577777777777778,0.6488888888888888,0.7762962962962963,0.8725925925925926,0.9155555555555556,0.9644444444444444
tail,676,0.307439,0.523683,0.40215999999999996,0.03605395979249468,0.01690789024741005,0.02189813645305745,0.4124368251682751,0.4260355029585799,0.5872781065088757,0.6893491124260355,0.7810650887573964,0.8505917159763313,0.9437869822485208
tail,675,0.523683,0.759466,0.64498,0.03948765427445293,0.018003341044188565,0.026489089637546464,0.42081415858060156,0.46370370370370373,0.6266666666666667,0.7377777777777778,0.8222222222222222,0.8770370370370371,0.9288888888888889
tail,676,0.759466,0.9992669999999999,0.8869355,0.03932342644897114,0.019472234012653335,0.029858017443549975,0.3931503448629501,0.4319526627218935,0.5872781065088757,0.6952662721893491,0.8032544378698225,0.8594674556213018,0.9289940828402367
tail,675,0.9992669999999999,1.275781,1.128934,0.0446692682917605,0.022162626218663377,0.03540730983673906,0.345851350525864,0.3377777777777778,0.52,0.64,0.7659259259259259,0.8266666666666667,0.9155555555555556
tail,676,1.275781,1.6341445,1.4480650000000002,0.042703248650547906,0.023793729649113988,0.02804820540593799,0.21059962259419907,0.2781065088757396,0.4289940828402367,0.5502958579881657,0.6745562130177515,0.7514792899408284,0.849112426035503
tail,676,1.6341445,2.1339750000000004,1.8293335,0.05518149370320853,0.0320732265573806,0.02442370420530551,0.15334674677327353,0.22337278106508876,0.3520710059171598,0.45710059171597633,0.5872781065088757,0.6730769230769231,0.772189349112426
