split,region,distance,axis,y_true,mean,total_variance,pit,crps
random,in,1.4e-05,9.235709,0.26972321,0.27084976,6.947077054064721e-05,0.446243,0.00200848
random,in,0.000336,10.902596,0.26187771,0.23745248,0.0012101742904633,0.7587,0.01470357
random,in,0.000186,6.518525,0.23439166,0.25153169,0.0002576881088316,0.14282,0.01043054
random,in,1.4e-05,9.377049,0.38244478,0.38064837,9.228052658727393e-05,0.574171,0.00237857
random,in,1.3e-05,9.049481,0.14462613,0.15082721,8.366149268113077e-05,0.248898,0.00375331
random,in,0.000234,10.347882,0.24209872,0.2581827,0.0002245132927782,0.14154,0.00979701
random,in,0.000184,10.782066,0.28635836,0.28452253,0.0002637177531141,0.545004,0.00387777
random,in,6.4e-05,9.868224,0.17104734,0.16823043,0.0002573094971012,0.569699,0.00394551
random,in,1.6e-05,9.409374,0.22324225,0.22323342,5.043808778282255e-05,0.500496,0.0016597
random,in,3.5e-05,9.475727,0.269716,0.26972586,0.0008289703982882,0.499863,0.00672851
random,in,0.000212,7.980379,0.23638708,0.25358477,0.0001511260634288,0.080915,0.01116556
random,in,4.3e-05,9.523462,0.32740995,0.3257547,7.143171387724578e-05,0.577635,0.00210404
random,in,3.8e-05,9.539123,0.23424822,0.23092386,3.999954060418531e-05,0.700428,0.0021595
random,in,1.3e-05,9.329116,0.34044087,0.34323499,4.91287064505741e-05,0.34508,0.00207658
random,in,6e-05,8.640317,0.2404226,0.24398279,8.45820177346468e-05,0.349337,0.00269231
random,in,0.000114,8.350723,0.32449115,0.32498983,0.00010902172653,0.480954,0.00244959
random,in,8.5e-05,10.211652,0.21773631,0.21397701,4.258257104083896e-05,0.717723,0.00236585
random,in,6.6e-05,9.288364,0.29121726,0.29385981,7.387888035736978e-05,0.379254,0.00233026
random,in,8.6e-05,7.268015,0.1637454,0.1980814,0.0016009137034416,0.195403,0.02043397
random,in,0.000213,7.294426,0.22812058,0.22187896,0.0002856933861039,0.644038,0.00485922
random,in,1.7e-05,9.843972,0.27439219,0.27521616,5.746503302361816e-05,0.456722,0.00180724
random,in,4.7e-05,9.886788,0.23408453,0.2351025,4.492390507948585e-05,0.439641,0.00162791
random,in,7e-06,9.947736,0.23773387,0.24539538,5.5557065934408456e-05,0.152002,0.00463368
random,in,4.6e-05,9.616989,0.366437,0.36573136,0.0001481470681028,0.523116,0.00286075
random,in,0.000217,10.205008,0.27081046,0.27274516,5.369643622543663e-05,0.395881,0.00191507
random,in,0.001046,4.695889,0.18498147,0.19326378,0.0001591884210938,0.25577,0.00504286
random,in,5.7e-05,10.0442,0.2236383,0.21216127,0.0001063554518623,0.867121,0.00703826
random,in,0.000226,8.931204,0.24769762,0.24297178,6.692018359899521e-05,0.718266,0.00297158
random,in,1.9e-05,7.839174,0.21318568,0.2118115,9.668323036748916e-05,0.555573,0.00237436
random,in,0.000228,8.37831,0.32499719,0.32269818,0.0001394034334225,0.577193,0.00293725
random,in,3e-05,10.045427,0.21907162,0.21537189,5.060159310232848e-05,0.698504,0.0024132
random,in,3.3e-05,8.883906,0.27128701,0.26497203,5.083625728730112e-05,0.81211,0.0037624
random,in,0.000133,7.961058,0.1912534,0.18412666,0.0001606815058039,0.713018,0.00452
random,in,0.000399,10.417709,0.29682392,0.28557512,0.0004124380648136,0.710174,0.00717003
random,in,0.000266,6.212137,0.35182666,0.37161261,0.0002486471203155,0.104781,0.01246902
random,in,2.2e-05,8.988617,0.22803102,0.23732889,0.0001830216788221,0.245954,0.00561508
random,in,6.8e-05,7.373604,0.16869072,0.13882083,0.0004880478372797,0.911825,0.01920481
random,in,8.5e-05,9.739267,0.22999914,0.22659545,4.553500912152231e-05,0.693011,0.00224772
random,in,4e-05,9.178997,0.17398663,0.17619053,0.0001005462108878,0.413017,0.0025358
random,in,3.1e-05,10.014298,0.17422648,0.18053158,6.689228030154482e-05,0.22038,0.00375985
random,in,2.8e-05,8.087992,0.35577893,0.34058729,0.0002045517176156,0.855926,0.00923656
random,in,8.9e-05,9.041977,0.28932697,0.29269809,7.734476093901321e-05,0.350742,0.00256455
random,in,2e-05,9.74303,0.3431299,0.34272611,7.382746116491035e-05,0.518741,0.00201554
random,in,5e-06,9.833861,0.3086277,0.30164292,5.740680717281066e-05,0.821703,0.0041719
random,in,6e-06,5.850167,0.37800554,0.36840287,0.0002235974534414,0.739623,0.00587344
random,in,3.3e-05,7.077998,0.21989727,0.21073177,0.0004396432777866,0.66899,0.00647342
random,in,5.8e-05,9.039512,0.34064587,0.34788305,7.928807463031262e-05,0.208176,0.00430642
