region,ranking,deferred,saved,score
out,epistemic,0.0,1.0,0.019474690973745722
out,epistemic,0.02,0.98,0.018490787537544167
out,epistemic,0.04,0.96,0.017708285958930398
out,epistemic,0.06,0.94,0.016930302687941615
out,epistemic,0.08,0.92,0.01597326272865875
out,epistemic,0.1,0.9,0.01525973653345805
out,epistemic,0.12,0.88,0.014464688983194514
out,epistemic,0.14,0.86,0.013701760955800188
out,epistemic,0.16,0.84,0.013005838863948429
out,epistemic,0.18,0.82,0.012361081498727965
out,epistemic,0.2,0.8,0.011813071314638853
out,epistemic,0.22,0.78,0.011149729433868296
out,epistemic,0.24,0.76,0.010633352020594653
out,epistemic,0.26,0.74,0.010093456213738352
out,epistemic,0.28,0.72,0.009601839164646554
out,epistemic,0.3,0.7,0.009081082092144623
out,epistemic,0.32,0.68,0.008745554115697994
out,epistemic,0.34,0.66,0.008267968129257047
out,epistemic,0.36,0.64,0.007864554019889163
out,epistemic,0.38,0.62,0.007394170235161637
out,epistemic,0.4,0.6,0.007017723268676517
out,epistemic,0.42,0.58,0.00660043569469461
out,epistemic,0.44,0.56,0.006258967625473269
out,epistemic,0.46,0.54,0.0059412808398531716
out,epistemic,0.48,0.52,0.0055344949992754055
out,epistemic,0.5,0.5,0.005254134438647342
out,epistemic,0.52,0.48,0.00493377428963011
out,epistemic,0.54,0.46,0.004602449768410844
out,epistemic,0.56,0.44,0.0043680077921516135
out,epistemic,0.58,0.42,0.004084675554480247
out,epistemic,0.6,0.4,0.003834879490910507
out,epistemic,0.62,0.38,0.0036195368290474197
out,epistemic,0.64,0.36,0.0033777959734587713
out,epistemic,0.66,0.34,0.003117266883483226
out,epistemic,0.68,0.32,0.0028830993557201405
out,epistemic,0.7,0.3,0.002638672962066793
out,epistemic,0.72,0.28,0.00241180131494402
out,epistemic,0.74,0.26,0.0021963323978652655
out,epistemic,0.76,0.24,0.001988940882539842
out,epistemic,0.78,0.22,0.0018167201215858874
out,epistemic,0.8,0.2,0.0016318961164216769
out,epistemic,0.82,0.18,0.0014533402706298417
out,epistemic,0.84,0.16,0.0012535868907707333
out,epistemic,0.86,0.14,0.0010949386886365217
out,epistemic,0.88,0.12,0.0009042790003713495
out,epistemic,0.9,0.1,0.0007324366568347422
out,epistemic,0.92,0.08,0.0005648834023323315
out,epistemic,0.94,0.06,0.0004232144113946794
out,epistemic,0.96,0.04,0.00028994771112317075
out,epistemic,0.98,0.02,0.00015777500710708844
out,epistemic,1.0,0.0,0.0
out,aleatoric,0.0,1.0,0.019474690973745726
out,aleatoric,0.02,0.98,0.018564160554100803
out,aleatoric,0.04,0.96,0.017538954496259643
out,aleatoric,0.06,0.94,0.0165543549444854
out,aleatoric,0.08,0.92,0.015574079065648458
out,aleatoric,0.1,0.9,0.014661531826538655
out,aleatoric,0.12,0.88,0.0140098672515073
out,aleatoric,0.14,0.86,0.013368099152803598
out,aleatoric,0.16,0.84,0.012832790215667028
out,aleatoric,0.18,0.82,0.012334083721007305
out,aleatoric,0.2,0.8,0.011747360206289683
out,aleatoric,0.22,0.78,0.011273047047950402
out,aleatoric,0.24,0.76,0.010790878047334649
out,aleatoric,0.26,0.74,0.010301936175890678
out,aleatoric,0.28,0.72,0.009809441543522894
out,aleatoric,0.3,0.7,0.00935051713772269
out,aleatoric,0.32,0.68,0.008938781778641408
out,aleatoric,0.34,0.66,0.008489146054524789
out,aleatoric,0.36,0.64,0.008041184568928897
out,aleatoric,0.38,0.62,0.007585311703057123
out,aleatoric,0.4,0.6,0.007185077481171314
out,aleatoric,0.42,0.58,0.006752285189441251
out,aleatoric,0.44,0.56,0.006353320719932806
out,aleatoric,0.46,0.54,0.00587763027966743
out,aleatoric,0.48,0.52,0.005512929187823672
out,aleatoric,0.5,0.5,0.00515394659020808
out,aleatoric,0.52,0.48,0.004743710098302452
out,aleatoric,0.54,0.46,0.004467002336099697
out,aleatoric,0.56,0.44,0.004131297018345205
out,aleatoric,0.58,0.42,0.003831307996296116
out,aleatoric,0.6,0.4,0.003546464081951574
out,aleatoric,0.62,0.38,0.0032334473127236907
out,aleatoric,0.64,0.36,0.00300875518628688
out,aleatoric,0.66,0.34,0.002790833103514409
out,aleatoric,0.68,0.32,0.002553140565949722
out,aleatoric,0.7,0.3,0.0023241858296534127
out,aleatoric,0.72,0.28,0.002083598916816223
out,aleatoric,0.74,0.26,0.0018810573114219728
out,aleatoric,0.76,0.24,0.0017022190822673095
out,aleatoric,0.78,0.22,0.0015448811728788945
out,aleatoric,0.8,0.2,0.0013644789969693364
out,aleatoric,0.82,0.18,0.0012191053849959501
out,aleatoric,0.84,0.16,0.0010579247448098351
out,aleatoric,0.86,0.14,0.0009209512587485252
out,aleatoric,0.88,0.12,0.0007749193981381559
out,aleatoric,0.9,0.1,0.0006420634835138951
out,aleatoric,0.92,0.08,0.0005076422584814025
out,aleatoric,0.94,0.06,0.00036322182076451126
out,aleatoric,0.96,0.04,0.00023603781110566113
out,aleatoric,0.98,0.02,0.00011205179975625216
out,aleatoric,1.0,0.0,0.0
out,total,0.0,1.0,0.0194746909737457
out,total,0.02,0.98,0.018502352212864726
out,total,0.04,0.96,0.017502069815191486
out,total,0.06,0.94,0.016541854620897384
out,total,0.08,0.92,0.015583045681730537
out,total,0.1,0.9,0.014673659280664015
out,total,0.12,0.88,0.013785234466493813
out,total,0.14,0.86,0.013170249082409087
out,total,0.16,0.84,0.012595658008855244
out,total,0.18,0.82,0.012055117372404785
out,total,0.2,0.8,0.011498738738878203
out,total,0.22,0.78,0.010929522658600178
out,total,0.24,0.76,0.010460495309820291
out,total,0.26,0.74,0.009967660272940234
out,total,0.28,0.72,0.009436233898085655
out,total,0.3,0.7,0.008920660016647293
out,total,0.32,0.68,0.008402254891797887
out,total,0.34,0.66,0.007979426124197326
out,total,0.36,0.64,0.007560439367299417
out,total,0.38,0.62,0.007196059876946069
out,total,0.4,0.6,0.0067696496866765585
out,total,0.42,0.58,0.0064241676451450855
out,total,0.44,0.56,0.006073776443430181
out,total,0.46,0.54,0.005696609392320223
out,total,0.48,0.52,0.005317215503212411
out,total,0.5,0.5,0.004968248306064933
out,total,0.52,0.48,0.004612688074013578
out,total,0.54,0.46,0.004312001752719253
out,total,0.56,0.44,0.004067882250137792
out,total,0.58,0.42,0.0038321805138960855
