region,ranking,deferred,saved,score
out,epistemic,0.0,1.0,0.026210917047178473
out,epistemic,0.02,0.98,0.02484757399629966
out,epistemic,0.04,0.96,0.02379557844403324
out,epistemic,0.06,0.94,0.022726475620721488
out,epistemic,0.08,0.92,0.021448355150786243
out,epistemic,0.1,0.9,0.020480356695652107
out,epistemic,0.12,0.88,0.01942605904717846
out,epistemic,0.14,0.86,0.018436652690101682
out,epistemic,0.16,0.84,0.017535275448658565
out,epistemic,0.18,0.82,0.016668580712303337
out,epistemic,0.2,0.8,0.01592060327104524
out,epistemic,0.22,0.78,0.015060928671600278
out,epistemic,0.24,0.76,0.014365937735430072
out,epistemic,0.26,0.74,0.013650813441258014
out,epistemic,0.28,0.72,0.013007291311748319
out,epistemic,0.3,0.7,0.01233032936910262
out,epistemic,0.32,0.68,0.011866418427381996
out,epistemic,0.34,0.66,0.011221734725254324
out,epistemic,0.36,0.64,0.010684941592969403
out,epistemic,0.38,0.62,0.010066082253468948
out,epistemic,0.4,0.6,0.009554953507863024
out,epistemic,0.42,0.58,0.009004286281221026
out,epistemic,0.44,0.56,0.008541614893616963
out,epistemic,0.46,0.54,0.008111910259019372
out,epistemic,0.48,0.52,0.00757894790009245
out,epistemic,0.5,0.5,0.007204055950046185
out,epistemic,0.52,0.48,0.006770409827937031
out,epistemic,0.54,0.46,0.006328017019426407
out,epistemic,0.56,0.44,0.005999100271970345
out,epistemic,0.58,0.42,0.005626430268270087
out,epistemic,0.6,0.4,0.005277067959296898
out,epistemic,0.62,0.38,0.004987668388529082
out,epistemic,0.64,0.36,0.004651420893616963
out,epistemic,0.66,0.34,0.004295556555041571
out,epistemic,0.68,0.32,0.003979351822386615
out,epistemic,0.7,0.3,0.0036492142423681134
out,epistemic,0.72,0.28,0.0033335411877890237
out,epistemic,0.74,0.26,0.0030290085661424026
out,epistemic,0.76,0.24,0.0027510698297871826
out,epistemic,0.78,0.22,0.0025131949102682174
out,epistemic,0.8,0.2,0.002257061646623433
out,epistemic,0.82,0.18,0.002006284558741841
out,epistemic,0.84,0.16,0.0017251794505087283
out,epistemic,0.86,0.14,0.0015024510397779259
out,epistemic,0.88,0.12,0.0012455852821461298
out,epistemic,0.9,0.1,0.0010074311637372612
out,epistemic,0.92,0.08,0.0007763770397779827
out,epistemic,0.94,0.06,0.0005836639722479445
out,epistemic,0.96,0.04,0.0003935533061979957
out,epistemic,0.98,0.02,0.00021484519703979902
out,epistemic,1.0,0.0,0.0
out,aleatoric,0.0,1.0,0.026210917047178428
out,aleatoric,0.02,0.98,0.024913047289546606
out,aleatoric,0.04,0.96,0.023453255942645586
out,aleatoric,0.06,0.94,0.022141220368177502
out,aleatoric,0.08,0.92,0.020873818928769546
out,aleatoric,0.1,0.9,0.019727223642923102
out,aleatoric,0.12,0.88,0.01885814064199803
out,aleatoric,0.14,0.86,0.01800595096392217
out,aleatoric,0.16,0.84,0.017290364941720506
out,aleatoric,0.18,0.82,0.016602865224791735
out,aleatoric,0.2,0.8,0.01582419213320987
out,aleatoric,0.22,0.78,0.015177088271970278
out,aleatoric,0.24,0.76,0.01453294255689165
out,aleatoric,0.26,0.74,0.01387837442738194
out,aleatoric,0.28,0.72,0.013224657703977686
out,aleatoric,0.3,0.7,0.012613307864939768
out,aleatoric,0.32,0.68,0.01205767574838102
out,aleatoric,0.34,0.66,0.01144372919518952
out,aleatoric,0.36,0.64,0.010853644906567875
out,aleatoric,0.38,0.62,0.010240944777058166
out,aleatoric,0.4,0.6,0.009715639966697396
out,aleatoric,0.42,0.58,0.00914703172802949
out,aleatoric,0.44,0.56,0.008616723326549381
out,aleatoric,0.46,0.54,0.008009335913043368
out,aleatoric,0.48,0.52,0.007520695905642825
out,aleatoric,0.5,0.5,0.007045018930619705
out,aleatoric,0.52,0.48,0.00650776934505079
out,aleatoric,0.54,0.46,0.0061255124218315615
out,aleatoric,0.56,0.44,0.005684109655874123
out,aleatoric,0.58,0.42,0.005284873226641923
out,aleatoric,0.6,0.4,0.004888443209990671
out,aleatoric,0.62,0.38,0.004465224806660422
out,aleatoric,0.64,0.36,0.004156629160036936
out,aleatoric,0.66,0.34,0.0038539626197964163
out,aleatoric,0.68,0.32,0.0035303747733579404
out,aleatoric,0.7,0.3,0.0032105605883440557
out,aleatoric,0.72,0.28,0.002886269591119264
out,aleatoric,0.74,0.26,0.0026089147086030724
out,aleatoric,0.76,0.24,0.0023539622146160296
out,aleatoric,0.78,0.22,0.0021300837946345266
out,aleatoric,0.8,0.2,0.0018774406753005748
out,aleatoric,0.82,0.18,0.0016776974135059499
out,aleatoric,0.84,0.16,0.0014501735189638458
out,aleatoric,0.86,0.14,0.0012581941646623042
out,aleatoric,0.88,0.12,0.0010557965716928622
out,aleatoric,0.9,0.1,0.0008737345050878541
out,aleatoric,0.92,0.08,0.0006888396466234587
out,aleatoric,0.94,0.06,0.0004946829306197868
out,aleatoric,0.96,0.04,0.00032198983163737226
out,aleatoric,0.98,0.02,0.00015605491581867709
out,aleatoric,1.0,0.0,0.0
out,total,0.0,1.0,0.02621091704717842
out,total,0.02,0.98,0.02483947153006464
out,total,0.04,0.96,0.02339260440888055
out,total,0.06,0.94,0.022099010140610432
out,total,0.08,0.92,0.02084614775023115
out,total,0.1,0.9,0.019696958469935126
out,total,0.12,0.88,0.01855992745420895
out,total,0.14,0.86,0.017723674790009136
out,total,0.16,0.84,0.016969086247918475
out,total,0.18,0.82,0.01625380350231255
out,total,0.2,0.8,0.015512631918593771
out,total,0.22,0.78,0.01476489540240505
out,total,0.24,0.76,0.014140936297872215
out,total,0.26,0.74,0.013481835964847243
