split,region,distance,axis,y_true,y_pred,abs_error
random,in,1.4e-05,9.235709,0.26972321,0.26921883,0.00050438
random,in,0.000336,10.902596,0.26187771,0.25059763,0.01128008
random,in,0.000186,6.518525,0.23439166,0.26064784,0.02625618
random,in,1.4e-05,9.377049,0.38244478,0.37558679,0.00685799
random,in,1.3e-05,9.049481,0.14462613,0.14436636,0.00025977
random,in,0.000234,10.347882,0.24209872,0.24188163,0.0002171
random,in,0.000184,10.782066,0.28635836,0.28106587,0.00529249
random,in,6.4e-05,9.868224,0.17104734,0.16091182,0.01013552
random,in,1.6e-05,9.409374,0.22324225,0.22635793,0.00311568
random,in,3.5e-05,9.475727,0.269716,0.27641397,0.00669796
random,in,0.000212,7.980379,0.23638708,0.23331738,0.00306971
random,in,4.3e-05,9.523462,0.32740995,0.32368055,0.0037294
random,in,3.8e-05,9.539123,0.23424822,0.24232498,0.00807677
random,in,1.3e-05,9.329116,0.34044087,0.33833219,0.00210868
random,in,6e-05,8.640317,0.2404226,0.2429341,0.0025115
random,in,0.000114,8.350723,0.32449115,0.32026829,0.00422285
random,in,8.5e-05,10.211652,0.21773631,0.21936772,0.00163141
random,in,6.6e-05,9.288364,0.29121726,0.29259503,0.00137777
random,in,8.6e-05,7.268015,0.1637454,0.21603953,0.05229413
random,in,0.000213,7.294426,0.22812058,0.22417843,0.00394215
random,in,1.7e-05,9.843972,0.27439219,0.26913765,0.00525454
random,in,4.7e-05,9.886788,0.23408453,0.23287758,0.00120694
random,in,7e-06,9.947736,0.23773387,0.24661304,0.00887917
random,in,4.6e-05,9.616989,0.366437,0.37007361,0.00363661
random,in,0.000217,10.205008,0.27081046,0.27506709,0.00425662
random,in,0.001046,4.695889,0.18498147,0.19063764,0.00565617
random,in,5.7e-05,10.0442,0.2236383,0.22504163,0.00140333
random,in,0.000226,8.931204,0.24769762,0.24608933,0.00160829
random,in,1.9e-05,7.839174,0.21318568,0.21928475,0.00609907
random,in,0.000228,8.37831,0.32499719,0.3076797,0.0173175
random,in,3e-05,10.045427,0.21907162,0.22708565,0.00801402
random,in,3.3e-05,8.883906,0.27128701,0.26798984,0.00329717
random,in,0.000133,7.961058,0.1912534,0.19018842,0.00106497
random,in,0.000399,10.417709,0.29682392,0.28405901,0.01276491
random,in,0.000266,6.212137,0.35182666,0.36147047,0.00964381
random,in,2.2e-05,8.988617,0.22803102,0.23117631,0.00314529
random,in,6.8e-05,7.373604,0.16869072,0.1264192,0.04227152
random,in,8.5e-05,9.739267,0.22999914,0.22494957,0.00504957
random,in,4e-05,9.178997,0.17398663,0.16979161,0.00419502
random,in,3.1e-05,10.014298,0.17422648,0.17844662,0.00422014
random,in,2.8e-05,8.087992,0.35577893,0.33533666,0.02044228
random,in,8.9e-05,9.041977,0.28932697,0.28840482,0.00092215
random,in,2e-05,9.74303,0.3431299,0.35051474,0.00738483
random,in,5e-06,9.833861,0.3086277,0.30346353,0.00516417
random,in,6e-06,5.850167,0.37800554,0.35874534,0.0192602
random,in,3.3e-05,7.077998,0.21989727,0.17857846,0.04131881
random,in,5.8e-05,9.039512,0.34064587,0.34380797,0.0031621
random,in,0.000216,8.776818,0.18965842,0.18692254,0.00273587
random,in,0.000103,9.702623,0.18780463,0.18627883,0.0015258
random,in,0.00024,7.964127,0.23937294,0.21453422,0.02483872
random,in,2.7e-05,8.935585,0.21079596,0.20801478,0.00278118
random,in,1.6e-05,9.264525,0.2907646,0.25968439,0.03108022
