split,region,distance,axis,y_true,y_pred,abs_error
random,in,2.3e-05,9.990633,0.20146781,0.20043817,0.00102964
random,in,2e-06,9.483601,0.24170265,0.24234665,0.000644
random,in,9e-05,4.518397,0.18254608,0.19188618,0.0093401
random,in,2.4e-05,10.00864,0.23575377,0.24038362,0.00462985
random,in,9e-06,9.131341,0.29950315,0.30396224,0.0044591
random,in,5e-06,8.562315,0.15027821,0.15170519,0.00142698
random,in,0.000103,9.426529,0.34044621,0.33812161,0.0023246
random,in,0.000636,7.673562,0.21738858,0.21903628,0.0016477
random,in,1.1e-05,9.15931,0.15914349,0.15849568,0.00064781
random,in,0.000793,5.769147,0.24270922,0.25416409,0.01145486
random,in,0.000143,8.311392,0.24079599,0.24517785,0.00438186
random,in,2e-05,9.927965,0.239714,0.24501817,0.00530417
random,in,9.3e-05,9.673064,0.24026475,0.24103616,0.00077141
random,in,3.7e-05,7.015609,0.31574669,0.3229876,0.00724091
random,in,3.4e-05,9.810261,0.23185529,0.22583154,0.00602376
random,in,0.000235,10.279518,0.23177701,0.23297608,0.00119907
random,in,1.8e-05,9.739822,0.37383368,0.39305054,0.01921686
random,in,2.1e-05,7.837876,0.25868287,0.25583512,0.00284776
random,in,7.2e-05,10.175614,0.28638958,0.27860502,0.00778456
random,in,5.9e-05,10.3386,0.16035314,0.20204934,0.0416962
random,in,2.5e-05,10.037279,0.26031778,0.24838603,0.01193175
random,in,8.7e-05,9.50677,0.18255071,0.18047083,0.00207988
random,in,2e-06,9.934243,0.25842197,0.25887027,0.0004483
random,in,3.5e-05,9.683376,0.28220461,0.2905437,0.00833909
random,in,3.3e-05,9.56544,0.31066774,0.31762292,0.00695518
random,in,9.1e-05,4.74438,0.25176403,0.24752323,0.0042408
random,in,0.000531,10.482149,0.22701882,0.22530663,0.00171219
random,in,0.000105,6.261708,0.29286248,0.29152746,0.00133503
random,in,4e-06,7.519208,0.30492647,0.31152552,0.00659905
random,in,7e-06,10.038149,0.29637955,0.27633822,0.02004133
random,in,7.1e-05,7.618626,0.23311725,0.2300184,0.00309885
random,in,6e-06,9.261372,0.37010012,0.36380759,0.00629253
random,in,0.000779,11.910657,0.13187572,0.13739732,0.0055216
random,in,1.9e-05,6.042467,0.2271132,0.23858841,0.01147521
random,in,0.000366,5.991595,0.22565256,0.23071083,0.00505827
random,in,4.7e-05,9.164096,0.22624127,0.2225938,0.00364747
random,in,7.1e-05,8.146092,0.26349708,0.2483973,0.01509978
random,in,0.000187,8.726222,0.2629051,0.23578459,0.02712051
random,in,1.3e-05,9.377845,0.20162223,0.20764472,0.00602249
random,in,0.000175,9.925608,0.23490056,0.23245957,0.00244099
random,in,5.7e-05,10.052424,0.24921126,0.24608357,0.00312769
random,in,2.9e-05,9.585236,0.24381948,0.2443482,0.00052872
random,in,0.000102,8.526486,0.20061142,0.19033334,0.01027808
random,in,1e-05,9.735513,0.21384101,0.21874895,0.00490793
random,in,3.6e-05,9.850562,0.23050946,0.23532033,0.00481087
random,in,6.5e-05,9.771304,0.22884828,0.23209719,0.00324892
random,in,0.000105,8.509874,0.1673354,0.14729664,0.02003876
random,in,1.1e-05,10.178839,0.26957568,0.26661809,0.00295759
random,in,9e-06,10.118301,0.25638747,0.26176756,0.00538008
random,in,0.000445,11.874821,0.19086876,0.17745035,0.01341841
random,in,0.000414,7.256455,0.28503336,0.26468373,0.02034963
