split,centre,percentiles,n_held_out,rmse_in,rmse_out,ratio,reach,min_bin,delta
tail-low,,0 to 20,2703,0.015635140132928202,0.03302761043982518,2.112396189546634,1.3745521970425008,126,0.0873053390247253
hole,0.1,5 to 15,2702,0.01445128247495131,0.02583791567451196,1.78793236650777,0.4839232260921042,294,0.05715476066494082
hole,0.2,15 to 25,2702,0.015108087748626363,0.022150755411902846,1.466152155087715,0.28422943815002744,306,0.05602287114655289
hole,0.3,25 to 35,2702,0.013576466107316243,0.020031335061989255,1.475445443876926,0.2353546879779141,301,0.05648626093501503
hole,0.4,35 to 45,2702,0.014749572795694253,0.013926876173533765,0.9442223423311181,0.1475630865009883,311,0.055570701758126784
hole,0.5,45 to 55,2702,0.014237189767456134,0.011734700486651421,0.8242287051251511,0.09969355122201211,318,0.05495567110102034
hole,0.6,55 to 65,2702,0.015268472981145656,0.01116932089970391,0.7315283534572448,0.07516849726317464,309,0.055750252150880274
hole,0.7,65 to 75,2702,0.015197234210366395,0.011915765262378648,0.7840745952477736,0.06824153567618785,314,0.055304599502343836
hole,0.8,75 to 85,2702,0.014856963066163855,0.011182167806326611,0.7526550181573485,0.06202902990717114,315,0.05521674464226308
hole,0.9,85 to 95,2702,0.014387263611848663,0.013131766472586572,0.9127355157218275,0.19522279803969958,138,0.08342314001435737
