member,epochs,best_val,test_rmse
0,75,0.02138029970228672,0.012572075132843493
1,79,0.020148759707808495,0.012950363442124475
2,78,0.019551487639546394,0.012617396969306752
3,78,0.022327864542603493,0.013039508862024181
4,61,0.019151588901877403,0.012350154098347454
5,85,0.022464977577328682,0.012565619749643315
6,76,0.02128392457962036,0.012931633762016701
7,69,0.022793078795075417,0.012351536108663633
8,83,0.020415116101503372,0.012228030907723569
9,83,0.023159857839345932,0.012656713220833407
