region,distance,axis,y_true,mean,epistemic_variance,aleatoric_variance,total_variance
in,4.9e-05,9.10191,0.20593481,0.20872962,5.4557633120566607e-05,6.247399869607762e-05,0.00011703163181664422
in,6.5e-05,5.357679,0.27484428,0.27099094,8.021653775358573e-05,8.663468906888738e-05,0.0001668512268224731
in,0.000137,10.21143,0.22772707,0.228754,2.0525383661151864e-05,2.8409820515662432e-05,4.893520235782489e-05
in,2.4e-05,9.995151,0.31665841,0.31072751,5.773232987849042e-05,9.79661344899796e-05,0.00015569846436847
in,1.3e-05,9.333569,0.2005425,0.2042851,1.828961649152916e-05,4.3627114791888744e-05,6.19167331024073e-05
in,0.000354,10.788862,0.15588623,0.16017739,0.00022721040295436978,0.0002585806942079216,0.0004857910971622914
in,9.2e-05,4.098689,0.27343304,0.28243512,2.008921728702262e-05,6.85501508996822e-05,8.863936818670481e-05
in,0.000199,10.948952,0.22438235,0.22803983,0.0001888357219286263,0.00012614575098268688,0.0003149814729113132
in,7.7e-05,9.277371,0.37737715,0.36842522,1.528490975033492e-05,5.125275856698863e-05,6.653767195530236e-05
in,3e-05,9.095734,0.29808976,0.30094904,1.8730694137047976e-05,4.5645228965440765e-05,6.437592674046755e-05
in,0.000148,10.057723,0.26043669,0.25752932,2.9846789402654395e-05,0.00016859434254001826,0.00019844113558065146
in,1.2e-05,9.015533,0.27092409,0.26083791,0.000172445026692003,7.549164001829922e-05,0.00024793666671030223
in,2.2e-05,10.184415,0.26082284,0.26195246,6.666404715360841e-06,3.128267053398304e-05,3.7949073885101825e-05
in,3.5e-05,9.040816,0.18576036,0.18638918,2.7149924790137447e-05,4.1026589315151796e-05,6.817651592427865e-05
in,0.000232,9.033171,0.27796729,0.2748839,2.8658592782448977e-05,5.513885844266042e-05,8.37974512251094e-05
in,3.4e-05,9.797214,0.33254173,0.33484378,1.7982678400585428e-05,3.27872512571048e-05,5.076992965769023e-05
in,4e-05,9.534537,0.23038943,0.22775388,1.114985570893623e-05,2.3014434191281907e-05,3.416428808122873e-05
in,1.4e-05,9.657863,0.33107627,0.32975522,3.606485188356601e-05,5.0308335630688816e-05,8.637318387627602e-05
