region,distance,axis,y_true,mean,epistemic_variance,aleatoric_variance,total_variance
in,0.0,9.297417,0.28524342,0.29138431,4.167336010141298e-05,5.826247070217505e-05,9.993583080358803e-05
in,1.1e-05,9.455091,0.37043464,0.3702186,2.486824814695865e-05,5.913008499192074e-05,8.399833313887939e-05
in,0.001032,4.969993,0.244698,0.24381438,0.00013874932483304292,0.00011908677697647363,0.00025783610180951655
in,2.8e-05,10.483425,0.33053062,0.31295669,0.00010454529547132552,0.0006053858669474721,0.0007099311333149672
in,0.000135,6.582059,0.3376365,0.33120292,9.576266165822744e-05,0.00019170351151842624,0.00028746615862473845
in,4.8e-05,10.182711,0.20239646,0.17860727,6.186719838296995e-05,0.00017508708697278053,0.00023695427807979286
in,3e-06,9.7129,0.34796997,0.35360253,1.5320098100346513e-05,4.797611472895369e-05,6.32962110103108e-05
in,3.4e-05,9.738786,0.19560783,0.19262961,2.175536792492494e-05,4.9246686103288084e-05,7.100205402821302e-05
in,3.5e-05,8.942789,0.34487038,0.35282332,3.863837264361791e-05,8.037022780627012e-05,0.00011900860408786684
in,0.000105,10.888431,0.10590746,0.10615136,9.461512672714889e-05,0.00031625496922060847,0.00041087009594775736
in,0.000218,8.870846,0.29497109,0.28467032,2.680308352864813e-05,0.0001175518409581855,0.00014435492630582303
in,0.000233,8.870736,0.2224944,0.22291434,3.2516949431737885e-05,3.793425639742054e-05,7.045120582915843e-05
in,1.5e-05,9.850002,0.37533412,0.37109572,1.1630310837063007e-05,6.119364115875214e-05,7.282395381480455e-05
in,1.8e-05,9.839756,0.34887604,0.34393018,3.506436769384891e-05,7.206093141576275e-05,0.00010712529910961166
in,6.5e-05,9.039314,0.29382341,0.30282378,5.276896627037786e-05,6.13332013017498e-05,0.00011410216393414885
in,1.1e-05,9.559267,0.18159675,0.18179011,3.509295856929384e-05,3.897593342117034e-05,7.406889199046418e-05
in,2.9e-05,9.750412,0.21142432,0.21027207,7.810889655956998e-06,2.766307989077177e-05,3.5473967727739364e-05
in,0.00012,10.379156,0.19809238,0.19649494,5.554014569497667e-05,0.00015901571896392852,0.000214555868296884
in,2.8e-05,9.089426,0.2467167,0.24869227,2.3189466446638107e-05,2.74141930276528e-05,5.060365947429091e-05
in,0.000334,10.478382,0.17460152,0.17582564,5.729895565309562e-05,0.00019452696142252535,0.0002518259279895574
in,2e-05,9.648459,0.34036751,0.34263691,1.1086463018727954e-05,4.992551839677617e-05,6.1011982324998826e-05
in,5.6e-05,4.177608,0.15852158,0.16339932,0.00021436346287373453,0.00024426032905466855,0.0004586238064803183
in,5e-06,9.990585,0.20266151,0.21012947,3.363588257343508e-05,5.485116707859561e-05,8.84870532900095e-05
in,1e-05,9.683376,0.28220461,0.28530508,2.3787555619492196e-05,4.8951158532872796e-05,7.27387159713544e-05
in,8.5e-05,9.656692,0.3013745,0.30772567,6.9139027800702024e-06,3.174424637109041e-05,3.8658148696413264e-05
in,4.5e-05,9.205701,0.18486557,0.19826719,5.565434184973128e-05,0.00016309724014718086,0.00021875157835893333
in,0.000252,7.055802,0.23578131,0.22382669,7.605225255247205e-05,0.00010759584984043613,0.0001836481096688658
in,0.000173,5.655208,0.15115161,0.15151361,9.398859401699156e-05,0.00017411138105671853,0.0002680999750737101
in,7e-06,8.943549,0.1983402,0.20838828,0.00018526636995375156,9.377629612572491e-05,0.0002790426660794765
in,3e-06,9.861042,0.30258022,0.31118417,4.837096184928669e-06,4.9536243750480935e-05,5.4373340390156955e-05
in,1.9e-05,9.948893,0.20275882,0.21525767,7.395066859317012e-06,2.970070272567682e-05,3.7095771403983235e-05
in,0.000233,9.157421,0.27458746,0.27355081,6.748156010871753e-05,0.00011147919576615095,0.0001789607631508261
in,2.6e-05,9.108349,0.16205439,0.16795245,0.00012206417159177363,0.0001764280314091593,0.00029849220300093293
in,0.000182,5.525925,0.17222553,0.1729562,0.00017319893231615424,0.0004126945568714291,0.0005858935182914138
in,0.000263,5.673834,0.19708299,0.20049569,0.00019095250172540545,0.0004291090299375355,0.000620061531662941
in,6.9e-05,7.313122,0.23457981,0.22743301,6.33329909760505e-05,0.00010329034557798877,0.00016662332927808166
in,1.3e-05,10.138541,0.22742474,0.22247419,8.217833965318277e-06,2.935177144536283e-05,3.75696035916917e-05
in,2.2e-05,9.16512,0.19998959,0.1950943,1.2507369319791906e-05,2.868955743906554e-05,4.1196926758857444e-05
in,5.2e-05,9.628788,0.33084245,0.32332182,5.639126538881101e-05,7.068288687150925e-05,0.00012707414862234145
in,4.8e-05,9.263323,0.35693997,0.3644205,1.6439562386949547e-05,4.584865382639691e-05,6.228821439435706e-05
in,2e-06,9.573645,0.22537206,0.22338763,5.576043349719839e-06,2.5276627638959326e-05,3.085267235292122e-05
in,2.9e-05,9.585236,0.24381948,0.24305837,1.1494743375806138e-05,2.7849135221913457e-05,3.9343878597719595e-05
in,0.00075,4.542828,0.15126299,0.15868929,9.989602403948084e-05,0.0002480799739714712,0.0003479759907349944
in,0.000103,8.897404,0.21792573,0.21805909,3.329804167151451e-05,6.327671144390479e-05,9.65747531154193e-05
in,5.7e-05,6.893669,0.24448604,0.23690374,8.505283767590299e-05,0.00012344167043920606,0.00020849451539106667
in,0.000103,10.117516,0.2918606,0.29428059,1.5898132915026508e-05,3.10797113343142e-05,4.697784606833011e-05
in,4.1e-05,9.460432,0.16450422,0.18165264,0.00026700791204348207,0.0002739610499702394,0.0005409689620137215
in,4.5e-05,7.168358,0.38295148,0.38476738,2.244666757178493e-05,8.387333218706772e-05,0.00010632000339683145
in,7.4e-05,10.094691,0.18770899,0.1880206,2.196701825596392e-05,3.755214493139647e-05,5.951916318736039e-05
in,0.000204,10.256205,0.24124583,0.24125862,6.060766099835746e-05,0.00012169495312264189,0.00018230261048302054
in,0.001602,11.956005,0.17263665,0.13992533,4.344645276432857e-05,0.00018141171312890947,0.00022485817316919565
in,2.7e-05,9.013547,0.20207638,0.20415214,3.8403399230446666e-05,4.282615191186778e-05,8.122954750433564e-05
in,3.2e-05,8.991705,0.26567519,0.27212226,2.5695269869174808e-05,8.106161840260029e-05,0.0001067568882717751
in,1.8e-05,10.021544,0.25028479,0.24915957,1.165581852546893e-05,3.095015199505724e-05,4.260597052052617e-05
