region,distance,axis,y_true,mean,epistemic_variance,aleatoric_variance,total_variance
in,1.4e-05,9.235709,0.26972321,0.27084976,2.414691698504612e-05,4.532385355560109e-05,6.947077054064721e-05
in,0.000336,10.902596,0.26187771,0.23745248,0.0004433709545992315,0.000766803277656436,0.0012101742904633284
in,0.000186,6.518525,0.23439166,0.25153169,8.495690417475998e-05,0.00017273120465688407,0.00025768810883164406
in,1.4e-05,9.377049,0.38244478,0.38064837,2.536431566113606e-05,6.691621092613786e-05,9.228052658727393e-05
in,1.3e-05,9.049481,0.14462613,0.15082721,2.5490528059890494e-05,5.817096825921908e-05,8.366149268113077e-05
in,0.000234,10.347882,0.24209872,0.2581827,6.107577792135999e-05,0.00016343752213288099,0.00022451329277828336
in,0.000184,10.782066,0.28635836,0.28452253,7.819317397661507e-05,0.0001855245791375637,0.0002637177531141788
in,6.4e-05,9.868224,0.17104734,0.16823043,3.269360604463145e-05,0.00022461588378064334,0.0002573094971012324
in,1.6e-05,9.409374,0.22324225,0.22323342,2.0619636416085996e-05,2.981844954774715e-05,5.043808778282255e-05
in,3.5e-05,9.475727,0.269716,0.26972586,0.00019645558495540172,0.0006325148278847337,0.0008289703982882202
in,0.000212,7.980379,0.23638708,0.25358477,1.3763008610112593e-05,0.00013736305118072778,0.00015112606342881918
in,4.3e-05,9.523462,0.32740995,0.3257547,2.2928059479454532e-05,4.8503650759812444e-05,7.143171387724578e-05
in,3.8e-05,9.539123,0.23424822,0.23092386,9.518172191746999e-06,3.0481369321933016e-05,3.999954060418531e-05
in,1.3e-05,9.329116,0.34044087,0.34323499,9.807062269828748e-06,3.932164327125065e-05,4.91287064505741e-05
in,6e-05,8.640317,0.2404226,0.24398279,4.484524470171891e-05,3.973677667090669e-05,8.45820177346468e-05
in,0.000114,8.350723,0.32449115,0.32498983,3.272390313213691e-05,7.629782339790836e-05,0.00010902172653004527
in,8.5e-05,10.211652,0.21773631,0.21397701,1.0405474313301966e-05,3.217709672753699e-05,4.258257104083896e-05
in,6.6e-05,9.288364,0.29121726,0.29385981,1.5778910892549902e-05,5.809996946481988e-05,7.387888035736978e-05
in,8.6e-05,7.268015,0.1637454,0.1980814,0.0009101067553274333,0.0006908070063218474,0.0016009137034416199
in,0.000213,7.294426,0.22812058,0.22187896,0.00016365697956643999,0.00012203642108943313,0.0002856933861039579
in,1.7e-05,9.843972,0.27439219,0.27521616,1.8672864825930446e-05,3.8792168197687715e-05,5.746503302361816e-05
in,4.7e-05,9.886788,0.23408453,0.2351025,1.2348758900770918e-05,3.257514617871493e-05,4.492390507948585e-05
in,7e-06,9.947736,0.23773387,0.24539538,2.115226016030647e-05,3.440480577410199e-05,5.5557065934408456e-05
in,4.6e-05,9.616989,0.366437,0.36573136,7.021052442723885e-05,7.793654367560521e-05,0.00014814706810284406
in,0.000217,10.205008,0.27081046,0.27274516,1.904053169710096e-05,3.4655902709346265e-05,5.369643622543663e-05
in,0.001046,4.695889,0.18498147,0.19326378,4.798664303962141e-05,0.00011120177805423737,0.00015918842109385878
in,5.7e-05,10.0442,0.2236383,0.21216127,4.765917037730105e-05,5.8696277847047895e-05,0.00010635545186232775
in,0.000226,8.931204,0.24769762,0.24297178,2.089427289320156e-05,4.602591070579365e-05,6.692018359899521e-05
in,1.9e-05,7.839174,0.21318568,0.2118115,5.043059354647994e-05,4.6252640458988026e-05,9.668323036748916e-05
in,0.000228,8.37831,0.32499719,0.32269818,4.003222784376703e-05,9.937120921676978e-05,0.000139403433422558
in,3e-05,10.045427,0.21907162,0.21537189,2.0592126020346768e-05,3.0009465262992308e-05,5.060159310232848e-05
in,3.3e-05,8.883906,0.27128701,0.26497203,1.4563288459612522e-05,3.62729697371833e-05,5.083625728730112e-05
in,0.000133,7.961058,0.1912534,0.18412666,9.234793105861172e-05,6.833357474533841e-05,0.00016068150580395013
in,0.000399,10.417709,0.29682392,0.28557512,0.00019138801144436002,0.0002210500679211691,0.0004124380648136139
in,0.000266,6.212137,0.35182666,0.37161261,7.13342524250038e-05,0.00017731286061462015,0.00024864712031558156
in,2.2e-05,8.988617,0.22803102,0.23732889,3.4491858968976885e-05,0.0001485298271290958,0.00018302167882211506
in,6.8e-05,7.373604,0.16869072,0.13882083,0.0002217802102677524,0.0002662676270119846,0.000488047837279737
in,8.5e-05,9.739267,0.22999914,0.22659545,1.8115068087354302e-05,2.7419941034168005e-05,4.553500912152231e-05
in,4e-05,9.178997,0.17398663,0.17619053,2.9726073989877477e-05,7.082014053594321e-05,0.00010054621088784188
in,3.1e-05,10.014298,0.17422648,0.18053158,2.727935316215735e-05,3.961292532039806e-05,6.689228030154482e-05
in,2.8e-05,8.087992,0.35577893,0.34058729,5.383080861065537e-05,0.000150720909005031,0.00020455171761568636
in,8.9e-05,9.041977,0.28932697,0.29269809,1.9360957594471984e-05,5.798380516353063e-05,7.734476093901321e-05
in,2e-05,9.74303,0.3431299,0.34272611,1.7599297279957682e-05,5.6228163884952664e-05,7.382746116491035e-05
in,5e-06,9.833861,0.3086277,0.30164292,1.8274546164320782e-05,3.913226100848988e-05,5.740680717281066e-05
in,6e-06,5.850167,0.37800554,0.36840287,6.189065607031807e-05,0.0001617068046471104,0.00022359745344147086
in,3.3e-05,7.077998,0.21989727,0.21073177,0.00014879814989399165,0.0002908451424445957,0.0004396432777866721
in,5.8e-05,9.039512,0.34064587,0.34788305,2.3006195988273248e-05,5.628188228001818e-05,7.928807463031262e-05
in,0.000216,8.776818,0.18965842,0.18780421,2.274062171636615e-05,4.105393963982351e-05,6.379456317517906e-05
in,0.000103,9.702623,0.18780463,0.19198145,1.880219679151196e-05,3.427205956541002e-05,5.3074254537932575e-05
in,0.00024,7.964127,0.23937294,0.22931221,0.00010552682942943648,0.00015498977154493332,0.0002605165936984122
in,2.7e-05,8.935585,0.21079596,0.20223069,6.658153142780066e-05,0.00016219007375184447,0.00022877160517964512
in,1.6e-05,9.264525,0.2907646,0.25853005,0.0005413478938862681,0.00025571268633939326,0.0007970605511218309
in,0.000417,11.815098,0.12639226,0.1380613,8.716490992810577e-05,0.00022951056598685682,0.00031667546136304736
in,0.000246,5.36415,0.16376404,0.16810465,0.00012042019079672173,0.00018371095939073712,0.00030413115746341646
in,0.000176,7.642404,0.19626619,0.20872638,2.799025060085114e-05,0.00034751728526316583,0.000375507544958964
in,8.3e-05,8.0101,0.2921611,0.28398812,8.961153980635572e-06,0.00012286163109820336,0.00013182278780732304
in,1.1e-05,9.625861,0.18153592,0.19048649,4.39478135376703e-05,0.00015562785847578198,0.00019957567565143108
in,4e-06,9.994785,0.35609357,0.36731827,7.246994209708646e-05,7.002113125054166e-05,0.00014249107334762812
in,0.000107,5.87258,0.24313189,0.24426854,7.131780876079574e-05,0.00010317705164197832,0.00017449486767873168
in,0.000323,5.740738,0.3628858,0.35321182,9.190971468342468e-05,0.0001790886599337682,0.0002709983673412353
in,2e-06,9.026045,0.22430254,0.22390632,1.3505960851034615e-05,3.057724825339392e-05,4.408320819493383e-05
in,4.5e-05,10.057314,0.3494153,0.34257016,0.00010000429028877988,8.661563333589584e-05,0.00018661993090063334
in,1.9e-05,9.538641,0.38282728,0.38195834,3.7924783100606874e-05,8.05222662165761e-05,0.00011844704567920417
in,7.5e-05,9.384444,0.21880345,0.2190768,1.3585876331489999e-05,2.8143764211563393e-05,4.172963963355869e-05
in,5e-05,9.841756,0.35445468,0.35401675,5.815104941575555e-06,4.2691590351751074e-05,4.850669574807398e-05
in,7e-05,8.836028,0.24400111,0.24314193,1.1007769899151754e-05,3.48359790223185e-05,4.584374983096495e-05
in,4.3e-05,8.418891,0.34271578,0.33719811,4.3350639316486195e-05,6.450252840295434e-05,0.00010785316408146173
in,1e-06,5.309645,0.21844262,0.23327327,5.761790816904977e-05,0.00013073031732346863,0.000188348232768476
in,1.5e-05,10.14042,0.18296267,0.18840545,1.7721707990858704e-05,5.1512855861801654e-05,6.923456385266036e-05
in,0.000193,5.188318,0.19045548,0.18865758,0.0001915240427479148,0.00014987881877459586,0.00034140286152251065
in,6.6e-05,8.963037,0.26412975,0.26267201,1.9285624148324132e-05,0.00010915135499089956,0.0001284369791392237
