region,distance,axis,y_true,mean,epistemic_variance,aleatoric_variance,total_variance
in,2.3e-05,9.990633,0.20146781,0.20322835,2.9616212486871518e-05,5.837239950778894e-05,8.798861381364986e-05
in,2e-06,9.483601,0.24170265,0.24147718,2.9652108423761092e-05,9.266050619771704e-05,0.00012231261644046754
in,9e-05,4.518397,0.18254608,0.18694821,4.522646122495644e-05,0.0001680228888290003,0.00021324935369193554
in,2.4e-05,10.00864,0.23575377,0.23836632,2.8132069928687997e-05,3.9147660572780296e-05,6.72797323204577e-05
in,9e-06,9.131341,0.29950315,0.30019665,3.952416591346264e-05,7.078569615259767e-05,0.0001103098620660603
in,5e-06,8.562315,0.15027821,0.15656969,0.0001556369534227997,0.00016696414968464524,0.00032260111765936017
in,0.000103,9.426529,0.34044621,0.33362097,1.655826963542495e-05,6.904419569764286e-05,8.560246351407841e-05
in,0.000636,7.673562,0.21738858,0.22057529,1.2346691619313788e-05,7.566555723315105e-05,8.801224612398073e-05
in,1.1e-05,9.15931,0.15914349,0.16136897,1.5027964764158241e-05,6.476882845163345e-05,7.97967950347811e-05
in,0.000793,5.769147,0.24270922,0.25688946,4.102842649444938e-05,0.00010395983554190025,0.00014498826931230724
in,0.000143,8.311392,0.24079599,0.24198619,1.24828457046533e-05,0.00014177730190567672,0.00015426015306729823
in,2e-05,9.927965,0.239714,0.23741546,5.3361072787083685e-05,4.0372367948293686e-05,9.373344073537737e-05
in,9.3e-05,9.673064,0.24026475,0.234292,1.1402605196053628e-05,3.2697178539820015e-05,4.409978282637894e-05
in,3.7e-05,7.015609,0.31574669,0.32070959,2.1648556867148727e-05,9.703292744234204e-05,0.00011868148430949077
in,3.4e-05,9.810261,0.23185529,0.22983865,4.194425855530426e-05,4.185695433989167e-05,8.380121289519593e-05
in,0.000235,10.279518,0.23177701,0.22904427,1.7330890841549262e-05,4.532394086709246e-05,6.265482807066292e-05
in,1.8e-05,9.739822,0.37383368,0.38097733,9.411838982487097e-05,0.0002743769728112966,0.00036849535536020994
in,2.1e-05,7.837876,0.25868287,0.25136721,3.105742871412076e-05,0.00013986407429911196,0.00017092149937525392
in,7.2e-05,10.175614,0.28638958,0.27804351,8.213776891352609e-05,0.00012223178055137396,0.00020436954218894243
in,5.9e-05,10.3386,0.16035314,0.18138514,0.00030897415126673877,0.000231413752771914,0.0005403879331424832
in,2.5e-05,10.037279,0.26031778,0.25317344,2.6206251277471893e-05,3.946727520087734e-05,6.567352829733863e-05
in,8.7e-05,9.50677,0.18255071,0.18280947,0.00013517486513592303,0.00016206674627028406,0.0002972416114062071
in,2e-06,9.934243,0.25842197,0.25809899,1.3413324268185534e-05,3.163883229717612e-05,4.505215474637225e-05
in,3.5e-05,9.683376,0.28220461,0.28467003,3.7567700928775594e-05,8.845729462336749e-05,0.0001260249991901219
in,3.3e-05,9.56544,0.31066774,0.31072885,0.00010862577619263902,8.041778346523643e-05,0.00018904355238191783
in,9.1e-05,4.74438,0.25176403,0.26582712,3.0954324756748974e-05,0.00010155079507967457,0.00013250511256046593
in,0.000531,10.482149,0.22701882,0.2182245,5.93857912463136e-05,0.00012012921797577292,0.00017951501649804413
in,0.000105,6.261708,0.29286248,0.27740887,6.423095328500494e-05,0.00011566877219593152,0.00017989972548093647
in,4e-06,7.519208,0.30492647,0.32006139,0.0001976327912416309,0.00014463395928032696,0.0003422667505219579
in,7e-06,10.038149,0.29637955,0.28854159,1.2468888598959893e-05,4.643747161026113e-05,5.890636020922102e-05
in,7.1e-05,7.618626,0.23311725,0.2316843,4.538748908089474e-05,0.00012264908582437783,0.0001680365821812302
in,6e-06,9.261372,0.37010012,0.36040881,6.897125422256067e-05,8.465805876767263e-05,0.0001536293129902333
in,0.000779,11.910657,0.13187572,0.14297247,4.4484670070232823e-05,0.0002361079677939415,0.00028059264877811074
in,1.9e-05,6.042467,0.2271132,0.23080914,7.431617996189743e-05,0.0001489949645474553,0.00022331114450935274
in,0.000366,5.991595,0.22565256,0.2278754,1.1135351996927056e-05,0.0001977177307708189,0.00020885308913420886
in,4.7e-05,9.164096,0.22624127,0.21787608,3.287019717390649e-05,4.403485218062997e-05,7.690505299251527e-05
in,7.1e-05,8.146092,0.26349708,0.26333305,8.465771679766476e-05,0.0001579051313456148,0.00024256284814327955
in,0.000187,8.726222,0.2629051,0.2339952,5.484950452228077e-05,0.00014650422963313758,0.00020135373051743954
in,1.3e-05,9.377845,0.20162223,0.2015454,2.415870039840229e-05,4.0413062379229814e-05,6.457176641561091e-05
in,0.000175,9.925608,0.23490056,0.23292427,2.4154267521225847e-05,3.739489693543874e-05,6.154916627565399e-05
in,5.7e-05,10.052424,0.24921126,0.24310037,3.7078796594869345e-05,3.667172495624982e-05,7.375051791314036e-05
in,2.9e-05,9.585236,0.24381948,0.24185631,4.994375558453612e-06,3.858802665490657e-05,4.3582404032349586e-05
in,0.000102,8.526486,0.20061142,0.20358355,0.00019123069068882614,0.0001596994261490181,0.00035093011683784425
in,1e-05,9.735513,0.21384101,0.21485181,6.4407981881231535e-06,3.6837849620496854e-05,4.327864735387266e-05
in,3.6e-05,9.850562,0.23050946,0.22722013,2.9152541173971258e-05,3.877327253576368e-05,6.792581552872434e-05
in,6.5e-05,9.771304,0.22884828,0.22681496,5.812145445815986e-06,3.20650651701726e-05,3.7877209251746535e-05
in,0.000105,8.509874,0.1673354,0.16329464,5.52685814909637e-05,0.0002189557271776721,0.000274224323220551
in,1.1e-05,10.178839,0.26957568,0.26759896,1.1190139048267156e-05,4.217019159113988e-05,5.336033063940704e-05
in,9e-06,10.118301,0.25638747,0.25779948,2.8604301405721344e-05,3.6353838368086144e-05,6.495814159279689e-05
in,0.000445,11.874821,0.19086876,0.18839705,0.00010146640124730766,0.00017161235155072063,0.00027307873824611306
in,0.000414,7.256455,0.28503336,0.28376514,4.463243021746166e-05,0.00011494843056425452,0.00015958085714373738
in,7e-06,8.756402,0.23818952,0.2268136,3.428908530622721e-05,5.065956065664068e-05,8.494864596286789e-05
in,0.000174,9.386243,0.25850002,0.2503646,4.112181613891153e-06,3.32078525389079e-05,3.7320034607546404e-05
in,0.000158,10.32075,0.23279675,0.23766649,1.4381741493707523e-05,4.828653618460521e-05,6.266827404033393e-05
in,0.0001,8.782556,0.25629348,0.26055884,0.0002505335723981261,0.00013548221613746136,0.0003860158030875027
in,1.6e-05,9.782444,0.37324269,0.37282091,1.3796431630908046e-05,6.302288238657638e-05,7.681931310798973e-05
in,0.000254,9.000471,0.31030379,0.31672454,0.0001267684274353087,0.00018275603360962123,0.00030952447559684515
in,2.5e-05,10.104001,0.23199983,0.22463465,1.090864770958433e-05,3.7635210901498795e-05,4.854385770158842e-05
in,0.000693,6.109235,0.35413511,0.35598603,6.746104190824553e-05,0.00011278218880761415,0.00018024322343990207
in,4.7e-05,9.492328,0.36515548,0.35701743,6.845569259894546e-06,6.515069253509864e-05,7.199626270448789e-05
in,0.000236,9.192841,0.20029914,0.19829282,4.5325425162445754e-05,5.9063993830932304e-05,0.00010438941535539925
in,1e-05,9.894459,0.19575396,0.18836662,6.762796692783013e-05,5.640755261993036e-05,0.0001240355195477605
in,8.8e-05,8.98844,0.1223754,0.12622441,2.7937456252402626e-05,0.00010147668945137411,0.00012941414024680853
in,5e-05,10.035694,0.1996153,0.19592515,2.0696790670626797e-05,4.387989974929951e-05,6.457669223891571e-05
in,0.000277,5.701147,0.21342492,0.22249584,3.8039815990487114e-05,0.00012672439333982766,0.00016476420569233596
in,7.1e-05,10.001512,0.22477345,0.22806609,2.0449086150620133e-05,4.000547050964087e-05,6.0454556660261005e-05
in,8e-05,10.033291,0.23997395,0.22631617,4.5228280214359984e-05,0.00014958759129513055,0.00019481587514746934
in,0.000229,6.526591,0.21761585,0.23747075,0.00015021568106021732,0.00024659084738232195,0.00039680651389062405
