region,distance,axis,y_true,mean,epistemic_variance,aleatoric_variance,total_variance
in,2.9e-05,7.840297,0.24509058,0.23980531,1.694553066045046e-05,5.9208734455751255e-05,7.61542614782229e-05
in,0.000425,11.551314,0.16857411,0.17150846,3.384038427611813e-05,0.00019503610383253545,0.00022887648083269596
in,9e-05,9.783343,0.34508587,0.33615431,1.22666206152644e-05,6.308990850811824e-05,7.535652548540384e-05
in,2.8e-05,9.005855,0.21906546,0.22188024,1.709228308754973e-05,5.105325180920772e-05,6.814553489675745e-05
in,2.5e-05,8.252971,0.26722727,0.27121982,4.202406853437424e-05,0.00011352003639331087,0.00015554411220364273
in,0.000148,7.682017,0.16642101,0.17041853,0.0001873019791673869,0.00024331503664143384,0.0004306170158088207
in,8e-06,8.97239,0.18655375,0.19030786,0.00014411984011530876,0.00018094970437232405,0.0003250695299357176
in,2.2e-05,9.89111,0.21137878,0.23824176,0.00010844435018952936,0.00014368744450621307,0.0002521317801438272
in,2e-06,9.490596,0.21819342,0.2198116,6.3392994888999965e-06,2.9792074201395735e-05,3.613137232605368e-05
in,8e-06,9.395023,0.41999231,0.39611638,9.207348193740472e-05,0.00017449881124775857,0.0002665722859092057
in,0.00012,10.378962,0.10642558,0.10068202,9.243332169717178e-05,0.0003254361799918115,0.0004178695089649409
in,4.5e-05,10.138923,0.20383485,0.20478776,6.096081961004529e-06,2.8887512598885223e-05,3.498359365039505e-05
in,3e-06,9.967843,0.10019501,0.08841966,9.865056199487299e-05,0.00018064907635562122,0.000279299623798579
in,1e-05,9.495389,0.14313455,0.14860864,0.0003742978151421994,0.00023910663730930537,0.0006134044378995895
in,3e-06,10.109113,0.20277111,0.20234101,1.9511855498421937e-05,3.9506972825620323e-05,5.901882832404226e-05
in,4e-05,8.504636,0.31194148,0.31878507,5.191125819692388e-05,9.144040814135224e-05,0.00014335167361423373
in,4.3e-05,9.938696,0.22007416,0.22071795,1.438759318261873e-05,3.388262848602608e-05,4.827022348763421e-05
in,1.5e-05,9.891489,0.18351412,0.18377689,3.33721618517302e-05,4.26076258008834e-05,7.597978401463479e-05
in,8e-06,9.851457,0.34801641,0.34645581,9.112007319345139e-06,3.8653332012472674e-05,4.776533751282841e-05
in,0.000277,10.762621,0.11509279,0.1243665,6.961863982724026e-05,0.00023287441581487656,0.0003024930483661592
in,2.7e-05,9.649214,0.35158559,0.34082788,3.013161949638743e-05,6.529323582071811e-05,9.542485349811614e-05
in,3.5e-05,10.093392,0.24852749,0.2495316,7.5049433689855505e-06,2.856202809198294e-05,3.606697282521054e-05
in,3e-05,9.994439,0.24297274,0.24416366,8.275611435237806e-06,2.8285943699302152e-05,3.656155604403466e-05
in,3.6e-05,9.822912,0.23057013,0.23158081,6.04554770688992e-06,2.9338261811062694e-05,3.538381133694202e-05
in,0.000115,9.525322,0.29482953,0.28825384,4.7510333388345316e-05,4.720685683423653e-05,9.471719386056066e-05
in,1.1e-05,9.968305,0.28345667,0.24830039,0.00015626364620402455,0.00011074684880441055,0.0002670105022843927
in,8.7e-05,10.244186,0.25432137,0.25401002,1.1523919965839013e-05,3.8563692214665934e-05,5.008761218050495e-05
in,3.1e-05,9.672316,0.37627239,0.37105113,2.3536196749773808e-05,4.6567507524741814e-05,7.010370609350502e-05
in,1.3e-05,9.992645,0.21129601,0.21010223,3.640117938630283e-06,2.8547688998514786e-05,3.218780693714507e-05
in,4e-06,10.063327,0.32152029,0.31973171,1.3759120520262513e-05,3.943263800465502e-05,5.319175761542283e-05
in,4.5e-05,10.117185,0.22829787,0.23298311,1.928969686559867e-05,3.1330459023592994e-05,5.062015407020226e-05
in,8e-06,8.488916,0.23153464,0.2323294,1.1679187082336284e-05,3.0830222385702655e-05,4.250941128702834e-05
in,5.7e-05,9.620527,0.34356295,0.35253188,2.6551111659500748e-05,5.633314867736772e-05,8.288426033686846e-05
in,2.2e-05,9.57009,0.1844477,0.1796743,3.969136014347896e-05,0.00015579836326651275,0.00019548973068594933
in,0.000172,10.161623,0.24825295,0.24332824,4.89945086883381e-05,7.183571869973093e-05,0.00012083022738806903
in,1e-05,9.166071,0.1605494,0.16002312,0.0001521328231319785,0.0001517681812401861,0.0003039010043721646
in,9e-06,9.936085,0.24775314,0.25059226,4.514865395321976e-06,2.9059165171929635e-05,3.357402965775691e-05
in,7e-06,10.031348,0.23651325,0.23931639,5.888255327590741e-05,2.985580977110658e-05,8.87383648660034e-05
in,7.7e-05,8.454312,0.11014381,0.10781441,0.00011659263691399246,0.0001580536481924355,0.00027464627055451274
in,0.000141,9.554533,0.21679103,0.21699826,0.00046802606084384024,0.0004821796028409153,0.0009502056636847556
in,0.0003,8.748832,0.29186851,0.2955476,0.00010939079220406711,0.00010692082287278026,0.00021631161507684737
in,1.4e-05,10.174883,0.22135047,0.21811228,1.2521010830823798e-05,3.0392877306439914e-05,4.291388904675841e-05
in,0.00049,7.418903,0.24063522,0.25075841,6.921638851054013e-05,0.00015546998474746943,0.00022468637325800955
in,0.000127,8.86136,0.28222122,0.28661531,9.37543372856453e-05,8.770453132456169e-05,0.00018145886133424938
in,2.5e-05,9.894237,0.37781592,0.38339064,1.2148082532803528e-05,6.217525515239686e-05,7.432333950418979e-05
