region,distance,axis,y_true,mean,epistemic_variance,aleatoric_variance,total_variance
in,9e-06,9.337552,0.32293888,0.33301666,8.343304943991825e-05,7.461411587428302e-05,0.00015804715803824365
in,6.7e-05,9.448247,0.1728137,0.15923052,0.00011575502867344767,0.0001813542185118422,0.00029710924718528986
in,3e-05,8.812976,0.30016775,0.29813528,1.599745337443892e-05,6.181930802995339e-05,7.78167595854029e-05
in,2.2e-05,8.973681,0.25477995,0.25850737,4.540097506833263e-05,7.165731221903116e-05,0.00011705828364938498
in,3.1e-05,9.633515,0.25019245,0.25429761,1.76603007275844e-05,3.556312731234357e-05,5.322342622093856e-05
in,2e-05,10.226051,0.0892638,0.11258321,5.575793329626322e-05,0.00012414727825671434,0.00017990521155297756
in,4.6e-05,9.552123,0.21091162,0.19867294,0.00035525980638340116,0.00017934854258783162,0.0005346083780750632
in,2.8e-05,8.972951,0.2923592,0.2873503,1.560298551339656e-05,5.596926712314598e-05,7.157225627452135e-05
in,0.00017,10.314986,0.25056986,0.23374927,2.3052136384649202e-05,3.886927879648283e-05,6.192141154315323e-05
in,7.4e-05,8.898897,0.30308097,0.29976335,1.4308314348454587e-05,5.1300616178195924e-05,6.560893234563991e-05
in,4e-06,10.038132,0.21250971,0.21266857,2.870998105208855e-05,3.43684914696496e-05,6.307847070274875e-05
in,5e-06,8.810109,0.11628732,0.13339309,8.655952115077525e-05,0.00020748734823428094,0.0002940468839369714
in,0.000394,10.506461,0.24584373,0.24919505,0.0001804236526368186,0.00038818889879621565,0.000568612536881119
in,9e-06,9.436596,0.24054128,0.23011811,0.0004191425978206098,0.0002707472303882241,0.0006898898282088339
in,2e-05,9.576388,0.2155682,0.20857148,0.00013214244972914457,0.00014455418568104506,0.00027669663541018963
in,1.3e-05,10.068141,0.17104456,0.17646465,2.3099455574993044e-05,3.733041376108304e-05,6.042986933607608e-05
in,1.1e-05,11.310682,0.19858868,0.20667922,0.0003490071976557374,0.00021547758660744876,0.0005644847988151014
in,3.1e-05,10.014298,0.17422648,0.18278411,2.3714037524769083e-05,3.9470556657761335e-05,6.318459054455161e-05
in,4.1e-05,9.563692,0.23056174,0.2320216,2.9518174414988607e-05,2.8742728318320587e-05,5.8260902733309194e-05
in,9e-06,9.402322,0.28576317,0.29210642,6.35121323284693e-05,6.392461364157498e-05,0.00012743673869408667
