split,scale,region,when,n,rmse,total,ratio,coverage,pit_mean,crps
random,0.7578937989912493,in,before,2162,0.012672338048477078,0.014728676801715673,1.1622698783264955,0.9699352451433858,0.5206036779302129,0.005829756935253503
random,0.7578937989912493,in,after,2162,0.012672338048477078,0.011162772815366574,0.8808771335379647,0.9195189639222942,0.5252282085708551,0.005684913214007773
random,0.7578937989912493,out,before,5404,0.012796272086063149,0.014657652445879665,1.1454627056456395,0.9616950407105848,0.513553663106324,0.005960924109813929
random,0.7578937989912493,out,after,5404,0.012796272086063149,0.011108943896501118,0.8681390815845689,0.9059955588452998,0.5170268437929997,0.005826374826668403
hole,0.8084670568854649,in,before,2162,0.012624546787953541,0.013156976518557106,1.0421741658965227,0.9491211840888066,0.5027229399242522,0.005566914476047797
hole,0.8084670568854649,in,after,2162,0.012624546787953541,0.010636982083469035,0.842563480664426,0.9148936170212766,0.5035174441528656,0.005467390700415074
hole,0.8084670568854649,out,before,5404,0.024839173388350812,0.017018396136694838,0.6851434172393274,0.8712065136935603,0.5314231436885811,0.010708436298025524
hole,0.8084670568854649,out,after,5404,0.024839173388350812,0.01375881263754464,0.553915882079929,0.8031088082901554,0.5350271428877813,0.010893939489536113
tail,0.7751813292897495,in,before,2162,0.011243636018361158,0.013443079051689419,1.1956167052843503,0.9588344125809436,0.5041220206309533,0.005371836130018641
tail,0.7751813292897495,in,after,2162,0.011243636018361158,0.010420823889035789,0.9268197469233533,0.910268270120259,0.5040600209019153,0.005251574321938171
tail,0.7751813292897495,out,before,5405,0.03961915300384195,0.026297405130890898,0.6637548543337306,0.7792784458834413,0.3483775400727914,0.01947469097374573
tail,0.7751813292897495,out,after,5405,0.03961915300384195,0.020385257466235086,0.5145303703049453,0.669195189639223,0.3330401731943353,0.02013755376674041
