bin,a_lo,a_hi,a_median,n,n_failed,rate,stderr
0,3.6943044632826663,5.688659283413933,4.872106846453578,3233,1360,0.42066192390968143,0.008682200001755761
1,5.688659283413933,6.979146893145158,6.3348737373295325,3233,833,0.25765542839467986,0.007691650898186374
2,6.979146893145158,7.849382472368907,7.451603094496158,3233,510,0.15774822146613052,0.006410624689152099
3,7.849382472368907,8.63436065323708,8.252630815082817,3232,400,0.12376237623762376,0.005792547343205742
4,8.63436065323708,9.117455728685135,8.918691335451912,3233,228,0.07052273430250541,0.004502783901876452
5,9.117455728685135,9.452160989060365,9.303347869445863,3233,212,0.06557377049180328,0.004353461781386802
6,9.452160989060365,9.699938131150635,9.583533858433515,3232,143,0.04424504950495049,0.0036171785327981563
7,9.699938131150635,9.93831456843956,9.81762377384852,3233,143,0.04423136405815033,0.0036160855915156713
8,9.93831456843956,10.241386814136192,10.05290653461278,3233,198,0.06124342715743891,0.0042169979114200715
9,10.241386814136192,12.004659355872919,11.026123165171214,3233,1251,0.3869471079492731,0.008565878756659536
